                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80627,                 1.4185,                0.98376,                0.33615,                0.23765,                0.29957,                0.18718,                 1.8759,                 4.4308,                 1.7003,             0.00036406,             0.00036406,             0.00036406
                      2,                0.59021,                0.57731,                0.88394,                0.41414,                0.16843,                0.28659,                0.19048,                  1.988,                 2.5168,                 1.7753,             0.00072827,             0.00072827,             0.00072827
                      3,                 0.5967,                 0.5489,                0.89363,                0.39481,                0.28549,                0.29684,                0.18173,                 1.8332,                 2.9457,                 1.5952,              0.0010863,              0.0010863,              0.0010863
                      4,                0.58789,                0.50739,                0.88826,                0.43301,                0.26407,                0.34284,                0.20899,                 1.8558,                 1.6875,                 1.6416,              0.0010832,              0.0010832,              0.0010832
                      5,                0.56818,                0.48633,                0.88097,                0.39181,                0.21517,                0.30955,                0.20148,                 1.7948,                 1.7495,                 1.5562,               0.001074,               0.001074,               0.001074
                      6,                0.53488,                 0.4627,                0.86682,                0.58333,                0.10163,                0.34462,                0.21013,                 2.0597,                  2.501,                 1.7685,              0.0010647,              0.0010647,              0.0010647
                      7,                0.51316,                0.44612,                0.86038,                0.42795,                0.36861,                0.40391,                0.23727,                 1.8186,                  1.445,                 1.5643,              0.0010555,              0.0010555,              0.0010555
                      8,                0.49656,                0.41781,                0.85757,                0.33557,                0.34215,                0.34135,                0.18586,                 1.8608,                 1.5913,                 1.6878,              0.0010462,              0.0010462,              0.0010462
                      9,                0.49159,                0.41665,                0.85721,                0.45455,                0.29409,                0.38495,                0.25158,                 1.8258,                 1.6135,                 1.7175,               0.001037,               0.001037,               0.001037
                     10,                0.49544,                0.40995,                0.85827,                0.31429,                0.19643,                0.25972,                0.17946,                 1.7721,                  1.619,                 1.6206,              0.0010277,              0.0010277,              0.0010277
                     11,                0.48977,                 0.4098,                0.85642,                0.50958,                0.27227,                0.39809,                0.24705,                  1.862,                 1.6838,                 1.6841,              0.0010185,              0.0010185,              0.0010185
                     12,                0.48585,                0.39811,                0.85722,                0.41164,                0.36772,                0.41703,                0.24958,                 1.6983,                 1.3625,                 1.4978,              0.0010092,              0.0010092,              0.0010092
                     13,                0.45623,                0.37663,                0.84704,                0.48266,                0.33157,                0.40738,                0.27698,                 1.7151,                 1.4421,                 1.6084,             0.00099996,             0.00099996,             0.00099996
                     14,                0.47428,                0.38111,                0.84755,                0.41119,                0.42218,                0.44635,                0.27589,                 1.7821,                 1.2722,                 1.5289,              0.0009907,              0.0009907,              0.0009907
                     15,                 0.4507,                0.36829,                 0.8441,                0.50528,                0.22222,                0.36787,                0.23889,                 1.8035,                 1.5784,                  1.561,             0.00098145,             0.00098145,             0.00098145
                     16,                0.43527,                0.36148,                0.84045,                0.43247,                 0.3556,                0.42367,                0.26585,                 1.7469,                 1.3758,                 1.5419,             0.00097219,             0.00097219,             0.00097219
                     17,                0.44893,                0.36673,                0.84574,                0.46594,                0.36264,                0.43771,                0.26402,                 1.7681,                 1.3539,                 1.6115,             0.00096294,             0.00096294,             0.00096294
                     18,                0.44815,                0.35188,                0.84452,                0.40486,                0.36155,                0.41776,                0.27362,                 1.7182,                 1.2794,                 1.5448,             0.00095369,             0.00095369,             0.00095369
                     19,                0.43023,                 0.3508,                0.83891,                0.38095,                0.33157,                0.38275,                0.24101,                 1.6863,                 1.3782,                  1.493,             0.00094443,             0.00094443,             0.00094443
                     20,                0.45768,                 0.3663,                0.84647,                0.49185,                0.35604,                0.43888,                0.27577,                 1.6525,                 1.3063,                 1.4752,             0.00093518,             0.00093518,             0.00093518
                     21,                 0.4228,                0.33445,                0.83684,                0.44493,                0.38005,                0.43308,                0.27634,                 1.6159,                 1.2465,                 1.4905,             0.00092593,             0.00092593,             0.00092593
                     22,                0.44242,                  0.361,                0.84318,                0.48981,                0.37544,                0.46203,                0.28016,                 1.6177,                 1.3848,                 1.4763,             0.00091667,             0.00091667,             0.00091667
                     23,                0.42285,                0.33442,                0.83176,                0.44877,                0.44709,                0.47807,                0.28113,                 1.5997,                 1.2911,                 1.4463,             0.00090742,             0.00090742,             0.00090742
                     24,                0.42245,                0.33465,                0.83485,                0.42046,                0.44797,                0.45178,                0.27675,                 1.7019,                 1.2627,                 1.5305,             0.00089816,             0.00089816,             0.00089816
                     25,                0.42366,                0.33546,                0.83497,                0.44762,                0.36795,                0.43583,                0.28074,                 1.6235,                 1.2338,                 1.5292,             0.00088891,             0.00088891,             0.00088891
                     26,                0.42035,                0.33656,                0.83619,                0.49281,                0.38029,                0.43963,                0.27929,                 1.6208,                 1.2781,                 1.5007,             0.00087966,             0.00087966,             0.00087966
                     27,                0.41771,                0.33535,                0.83261,                0.44816,                0.38117,                0.43168,                0.26936,                 1.7183,                 1.3524,                 1.5432,              0.0008704,              0.0008704,              0.0008704
                     28,                0.41796,                0.33591,                0.83213,                0.44392,                0.36927,                0.39692,                0.26272,                  1.658,                 1.4317,                 1.5511,             0.00086115,             0.00086115,             0.00086115
                     29,                  0.425,                0.33478,                0.83897,                0.39525,                0.48435,                0.45282,                0.27563,                 1.6286,                 1.3057,                 1.5157,              0.0008519,              0.0008519,              0.0008519
                     30,                0.41838,                 0.3264,                0.83418,                0.44368,                0.42284,                0.46786,                0.29122,                 1.5518,                 1.2847,                 1.4387,             0.00084264,             0.00084264,             0.00084264
                     31,                0.40415,                0.31323,                0.83132,                0.47083,                0.38029,                0.44459,                 0.2864,                 1.6558,                 1.2388,                 1.5385,             0.00083339,             0.00083339,             0.00083339
                     32,                0.41039,                0.32305,                0.82675,                0.48497,                0.36728,                0.44773,                0.29331,                 1.5092,                 1.2398,                 1.4246,             0.00082414,             0.00082414,             0.00082414
                     33,                0.39471,                0.31052,                0.82464,                0.46173,                0.41711,                 0.4694,                0.28221,                 1.5812,                 1.2468,                 1.4593,             0.00081488,             0.00081488,             0.00081488
                     34,                0.40325,                0.30962,                0.83131,                0.46543,                 0.4052,                0.42478,                0.25592,                 1.6615,                 1.4667,                 1.5392,             0.00080563,             0.00080563,             0.00080563
                     35,                0.38658,                0.30607,                0.82354,                0.39891,                0.44092,                0.44273,                 0.2755,                 1.6123,                 1.2631,                 1.4865,             0.00079637,             0.00079637,             0.00079637
                     36,                0.38408,                0.30267,                0.82205,                0.52089,                0.38051,                0.45719,                0.28888,                 1.6209,                 1.2235,                  1.502,             0.00078712,             0.00078712,             0.00078712
                     37,                0.40026,                0.31712,                0.82309,                0.51657,                0.37434,                0.47171,                0.29566,                 1.6512,                 1.2749,                  1.421,             0.00077787,             0.00077787,             0.00077787
                     38,                0.39333,                0.30484,                0.82632,                0.48985,                0.44158,                0.48908,                0.31871,                 1.5493,                 1.1179,                 1.4315,             0.00076861,             0.00076861,             0.00076861
                     39,                0.38665,                0.29994,                0.82232,                0.52421,                0.44136,                0.50502,                0.31207,                 1.5567,                 1.1065,                 1.4416,             0.00075936,             0.00075936,             0.00075936
                     40,                0.38031,                0.30279,                0.82834,                0.52487,                0.34296,                0.42984,                0.27526,                 1.6194,                  1.157,                 1.4468,             0.00075011,             0.00075011,             0.00075011
                     41,                0.38965,                 0.3045,                0.82086,                 0.4872,                 0.4343,                0.50519,                0.30941,                 1.5552,                  1.116,                 1.4224,             0.00074085,             0.00074085,             0.00074085
                     42,                0.37657,                0.29513,                0.82335,                0.45615,                0.44687,                0.48031,                0.30144,                 1.5437,                 1.1709,                 1.4151,              0.0007316,              0.0007316,              0.0007316
                     43,                0.39195,                0.30308,                0.82301,                0.47946,                0.41027,                0.47138,                0.31669,                  1.538,                 1.1359,                 1.4258,             0.00072234,             0.00072234,             0.00072234
                     44,                0.37913,                0.28942,                0.82401,                 0.5198,                0.42791,                0.49608,                0.30464,                 1.5691,                 1.0842,                 1.4333,             0.00071309,             0.00071309,             0.00071309
                     45,                0.37704,                  0.291,                0.81621,                0.50049,                0.44136,                0.47427,                 0.2856,                 1.6849,                 1.1416,                 1.5561,             0.00070384,             0.00070384,             0.00070384
                     46,                0.37955,                0.29275,                0.82163,                0.50463,                0.42072,                0.47534,                0.30263,                 1.5928,                 1.1619,                 1.4718,             0.00069458,             0.00069458,             0.00069458
                     47,                0.37382,                0.29079,                0.82166,                0.50366,                0.45988,                 0.4944,                0.29683,                 1.6832,                 1.1223,                  1.599,             0.00068533,             0.00068533,             0.00068533
                     48,                0.38787,                0.29902,                0.82517,                0.52275,                0.49691,                0.51413,                0.31289,                 1.6083,                 1.2419,                 1.5107,             0.00067608,             0.00067608,             0.00067608
                     49,                0.38146,                0.29239,                0.82358,                0.55418,                0.38407,                0.48495,                0.30333,                 1.6353,                 1.1741,                 1.4976,             0.00066682,             0.00066682,             0.00066682
                     50,                0.37201,                0.28275,                0.81448,                0.49266,                0.45966,                0.47885,                0.29137,                 1.6448,                 1.0873,                 1.5214,             0.00065757,             0.00065757,             0.00065757
                     51,                0.35621,                0.27227,                0.81468,                0.47621,                0.47685,                0.49197,                0.31616,                 1.6252,                 1.0691,                 1.5327,             0.00064831,             0.00064831,             0.00064831
                     52,                0.37582,                0.28994,                0.82023,                0.46131,                0.38029,                 0.4383,                0.29284,                   1.57,                 1.2521,                 1.4912,             0.00063906,             0.00063906,             0.00063906
                     53,                0.36883,                0.28688,                0.81607,                0.47212,                0.41071,                0.46092,                0.28883,                 1.5956,                  1.183,                  1.469,             0.00062981,             0.00062981,             0.00062981
                     54,                0.37063,                0.27972,                0.81858,                0.43822,                0.44731,                0.48136,                0.28869,                  1.623,                 1.1257,                 1.4814,             0.00062055,             0.00062055,             0.00062055
                     55,                0.37873,                0.28914,                 0.8206,                0.42121,                 0.4784,                0.46778,                0.27775,                 1.6585,                 1.2093,                 1.5153,              0.0006113,              0.0006113,              0.0006113
                     56,                 0.3703,                0.28041,                0.81637,                0.48837,                0.47976,                0.49453,                0.30003,                  1.605,                  1.119,                 1.5324,             0.00060205,             0.00060205,             0.00060205
                     57,                0.36049,                0.27241,                0.81458,                0.50858,                0.41066,                0.47633,                0.30206,                 1.6162,                 1.1053,                  1.509,             0.00059279,             0.00059279,             0.00059279
                     58,                0.37199,                0.27823,                0.82027,                 0.4372,                0.44775,                0.46993,                0.30262,                 1.6523,                 1.1563,                 1.5302,             0.00058354,             0.00058354,             0.00058354
                     59,                0.36123,                0.27353,                0.81329,                0.53358,                0.40234,                0.47362,                0.30866,                 1.5785,                  1.159,                 1.4658,             0.00057429,             0.00057429,             0.00057429
                     60,                0.36314,                0.27475,                0.81756,                0.47557,                0.47884,                  0.496,                0.31753,                  1.609,                 1.1407,                  1.495,             0.00056503,             0.00056503,             0.00056503
                     61,                0.35087,                0.26529,                0.81167,                0.44115,                0.47288,                0.47347,                0.29717,                 1.6112,                  1.184,                 1.5092,             0.00055578,             0.00055578,             0.00055578
                     62,                0.34916,                0.26483,                0.81219,                0.54471,                0.39242,                0.48232,                0.30481,                 1.5642,                 1.0554,                 1.4705,             0.00054652,             0.00054652,             0.00054652
                     63,                0.35009,                0.26367,                0.81441,                0.51574,                0.40454,                0.48504,                0.29838,                 1.5899,                 1.0786,                 1.4613,             0.00053727,             0.00053727,             0.00053727
                     64,                0.34251,                0.25729,                0.81266,                0.45237,                 0.4052,                 0.4538,                0.29323,                 1.5961,                 1.2013,                 1.5333,             0.00052802,             0.00052802,             0.00052802
                     65,                0.35712,                  0.271,                0.81607,                0.48067,                0.42544,                0.48197,                0.30478,                 1.5896,                 1.0665,                 1.4819,             0.00051876,             0.00051876,             0.00051876
                     66,                0.35015,                0.25875,                0.81023,                0.43333,                0.46649,                0.47734,                0.30399,                 1.5603,                 1.1263,                 1.5089,             0.00050951,             0.00050951,             0.00050951
                     67,                0.35555,                0.26209,                0.81273,                0.48052,                0.41733,                0.47235,                0.30616,                  1.585,                 1.1516,                 1.4874,             0.00050026,             0.00050026,             0.00050026
                     68,                0.34523,                0.26534,                0.81135,                0.45105,                0.48942,                0.48885,                0.30787,                 1.5701,                 1.1032,                 1.4598,               0.000491,               0.000491,               0.000491
                     69,                0.35359,                0.25914,                0.81015,                0.49259,                0.43585,                0.47603,                0.30329,                 1.5344,                 1.1183,                 1.4459,             0.00048175,             0.00048175,             0.00048175
                     70,                0.34308,                0.25149,                0.80661,                0.51111,                 0.4537,                0.47497,                0.31418,                 1.5334,                 1.1257,                 1.4824,             0.00047249,             0.00047249,             0.00047249
                     71,                 0.3438,                0.25254,                0.80772,                0.50103,                0.47062,                0.48767,                 0.2992,                 1.5707,                 1.0786,                 1.5125,             0.00046324,             0.00046324,             0.00046324
                     72,                0.33578,                0.25283,                0.81281,                0.51754,                0.45392,                0.48242,                0.31377,                 1.5712,                  1.122,                 1.4816,             0.00045399,             0.00045399,             0.00045399
                     73,                0.34692,                0.25766,                0.81396,                0.48571,                0.47222,                0.50227,                0.31736,                 1.5154,                 1.1139,                 1.4669,             0.00044473,             0.00044473,             0.00044473
                     74,                0.34537,                0.25734,                0.81111,                0.43493,                 0.4892,                0.49566,                0.31627,                 1.5514,                 1.0935,                 1.4579,             0.00043548,             0.00043548,             0.00043548
                     75,                0.33929,                0.25224,                0.81079,                0.46429,                0.47112,                0.48485,                 0.3088,                 1.5789,                 1.0685,                 1.4616,             0.00042623,             0.00042623,             0.00042623
                     76,                0.33356,                0.24687,                0.80425,                0.51565,                0.46627,                0.47355,                0.30602,                 1.5325,                  1.128,                 1.4441,             0.00041697,             0.00041697,             0.00041697
                     77,                 0.3348,                0.24824,                0.80729,                0.80621,                0.63228,                0.73706,                0.33284,                  1.554,                 1.1264,                 1.4472,             0.00040772,             0.00040772,             0.00040772
                     78,                0.33665,                0.25149,                0.80772,                0.48334,                0.43482,                0.46768,                0.30815,                 1.5696,                 1.1599,                 1.4937,             0.00039846,             0.00039846,             0.00039846
                     79,                0.32665,                0.24236,                0.80417,                0.51797,                0.44136,                0.48609,                0.31342,                 1.5305,                 1.1422,                 1.5103,             0.00038921,             0.00038921,             0.00038921
                     80,                0.33289,                0.24631,                0.80494,                0.49527,                0.44414,                0.48639,                0.30976,                 1.5546,                 1.1362,                 1.4866,             0.00037996,             0.00037996,             0.00037996
                     81,                0.32751,                0.24195,                0.80649,                0.50795,                0.47773,                0.51102,                0.31422,                 1.5993,                 1.0984,                 1.5403,              0.0003707,              0.0003707,              0.0003707
                     82,                0.32972,                0.24354,                 0.8058,                0.50313,                0.46583,                0.50111,                0.31643,                 1.5962,                 1.0985,                 1.5293,             0.00036145,             0.00036145,             0.00036145
                     83,                0.31999,                0.23755,                 0.8049,                0.46634,                0.47751,                0.48718,                0.30475,                 1.5999,                 1.0823,                 1.4949,              0.0003522,              0.0003522,              0.0003522
                     84,                0.32555,                0.23665,                0.80505,                0.82011,                0.65608,                0.75794,                0.33666,                 1.6369,                 1.0052,                 1.5052,             0.00034294,             0.00034294,             0.00034294
                     85,                0.31486,                0.23146,                0.80612,                0.80667,                0.63294,                0.74455,                0.34687,                 1.6699,                 1.1813,                 1.5634,             0.00033369,             0.00033369,             0.00033369
                     86,                0.31818,                 0.2314,                0.80347,                0.53844,                0.43541,                0.49093,                0.30256,                 1.6045,                 1.1187,                 1.5599,             0.00032444,             0.00032444,             0.00032444
                     87,                0.33706,                0.24224,                0.80319,                0.59008,                0.42306,                0.50573,                0.31785,                 1.5955,                 1.0017,                 1.5148,             0.00031518,             0.00031518,             0.00031518
                     88,                0.32233,                0.23714,                0.80375,                 0.8276,                 0.8168,                0.83746,                0.40919,                 1.6627,                 1.0613,                 1.5675,             0.00030593,             0.00030593,             0.00030593
                     89,                0.31708,                0.22686,                 0.8047,                 0.4919,                0.47614,                0.49676,                 0.3161,                 1.6468,                  1.061,                 1.5436,             0.00029667,             0.00029667,             0.00029667
                     90,                0.31404,                0.22835,                0.80423,                0.50066,                0.46296,                0.49044,                0.30279,                  1.646,                 1.1422,                 1.5047,             0.00028742,             0.00028742,             0.00028742
                     91,                0.31047,                0.22392,                0.80004,                0.47254,                0.48391,                0.50461,                0.30617,                 1.6332,                 1.0908,                 1.5717,             0.00027817,             0.00027817,             0.00027817
                     92,                0.30471,                 0.2185,                0.80116,                0.48394,                0.42879,                0.46403,                0.30671,                  1.555,                 1.0509,                 1.5083,             0.00026891,             0.00026891,             0.00026891
                     93,                0.32287,                0.22953,                0.80261,                0.49482,                0.46583,                0.49322,                0.31533,                 1.6044,                 1.0578,                 1.4726,             0.00025966,             0.00025966,             0.00025966
                     94,                0.30781,                0.21788,                0.80025,                0.47358,                0.46605,                0.46326,                0.29284,                 1.5748,                 1.0622,                 1.4869,             0.00025041,             0.00025041,             0.00025041
                     95,                0.31117,                0.22073,                0.79996,                0.49286,                0.43585,                0.46528,                 0.3076,                 1.5629,                 1.0418,                  1.489,             0.00024115,             0.00024115,             0.00024115
                     96,                0.31051,                0.22271,                 0.8051,                 0.4841,                0.44916,                0.47955,                0.30519,                 1.5921,                 1.0617,                 1.5023,              0.0002319,              0.0002319,              0.0002319
                     97,                0.31083,                0.21758,                 0.7985,                0.52163,                0.44978,                0.48961,                0.30502,                  1.608,                 1.0671,                  1.495,             0.00022264,             0.00022264,             0.00022264
                     98,                0.29759,                0.21369,                0.79946,                0.51072,                0.44709,                0.49113,                0.31701,                 1.5971,                 1.0487,                 1.5409,             0.00021339,             0.00021339,             0.00021339
                     99,                0.29739,                0.21033,                0.79819,                0.48144,                0.46627,                0.50317,                0.31092,                 1.5478,                 1.0889,                 1.4796,             0.00020414,             0.00020414,             0.00020414
                    100,                0.31234,                0.21758,                0.80146,                0.49205,                0.46605,                 0.4936,                0.30807,                   1.57,                 1.0951,                 1.5156,             0.00019488,             0.00019488,             0.00019488
                    101,                0.31353,                0.22177,                 0.8001,                0.48519,                0.42218,                0.47619,                0.30312,                 1.5662,                  1.103,                 1.4731,             0.00018563,             0.00018563,             0.00018563
                    102,                0.29435,                 0.2075,                0.79551,                0.47123,                0.46649,                0.48792,                0.31953,                 1.5263,                 1.1009,                 1.4659,             0.00017638,             0.00017638,             0.00017638
                    103,                0.30089,                0.21259,                 0.7992,                 0.5341,                0.40476,                0.48472,                 0.3133,                 1.5943,                 1.1057,                 1.4861,             0.00016712,             0.00016712,             0.00016712
                    104,                0.29929,                0.21393,                0.80069,                0.49635,                0.46605,                0.49417,                0.31941,                  1.594,                 1.0296,                  1.493,             0.00015787,             0.00015787,             0.00015787
                    105,                0.29989,                0.21309,                0.79972,                0.50182,                0.47185,                 0.4879,                0.30963,                 1.5514,                 1.0552,                  1.517,             0.00014861,             0.00014861,             0.00014861
                    106,                0.29638,                0.20837,                0.79914,                0.48091,                0.45966,                0.48842,                0.31769,                 1.5622,                 1.0754,                 1.4699,             0.00013936,             0.00013936,             0.00013936
                    107,                0.29228,                0.20612,                0.79851,                0.44618,                0.43541,                0.45805,                0.30325,                 1.5161,                 1.1068,                 1.4478,             0.00013011,             0.00013011,             0.00013011
                    108,                0.29571,                0.20828,                0.79655,                0.47101,                0.39815,                0.44286,                0.29656,                 1.5186,                 1.1432,                 1.4734,             0.00012085,             0.00012085,             0.00012085
                    109,                0.30153,                0.21303,                0.79457,                0.48957,                0.42879,                0.47626,                0.31107,                 1.5216,                 1.1609,                   1.45,              0.0001116,              0.0001116,              0.0001116
                    110,                0.28322,                0.19952,                0.79157,                0.46851,                0.45988,                0.48189,                0.30817,                 1.5168,                 1.0955,                  1.466,             0.00010235,             0.00010235,             0.00010235
                    111,                0.29573,                0.20214,                0.78904,                0.51542,                0.43541,                0.48469,                0.31616,                 1.5627,                 1.0595,                 1.5028,             9.3093e-05,             9.3093e-05,             9.3093e-05
                    112,                0.29547,                0.20115,                0.78818,                0.48641,                0.47178,                0.50108,                0.31557,                 1.5412,                 1.0969,                 1.4992,             8.3839e-05,             8.3839e-05,             8.3839e-05
                    113,                0.29864,                0.19937,                0.79177,                 0.4871,                0.45392,                 0.4919,                0.32403,                 1.5081,                 1.0984,                  1.481,             7.4585e-05,             7.4585e-05,             7.4585e-05
                    114,                0.29237,                0.19459,                0.78405,                0.51963,                 0.4418,                0.48683,                0.31806,                 1.5095,                 1.1029,                 1.4608,             6.5331e-05,             6.5331e-05,             6.5331e-05
                    115,                0.28679,                0.19156,                0.78812,                0.49506,                0.47222,                0.49488,                0.31643,                 1.5114,                 1.0702,                  1.482,             5.6078e-05,             5.6078e-05,             5.6078e-05
                    116,                0.28659,                0.19108,                0.78802,                0.50747,                0.43489,                0.48284,                0.31253,                 1.5188,                 1.0951,                 1.4982,             4.6824e-05,             4.6824e-05,             4.6824e-05
                    117,                0.28192,                0.18721,                0.78737,                 0.4799,                0.45392,                0.47803,                0.31458,                 1.5131,                  1.142,                 1.5034,              3.757e-05,              3.757e-05,              3.757e-05
                    118,                0.28209,                0.18704,                0.78626,                0.53299,                 0.4052,                0.47735,                 0.3168,                 1.5249,                 1.1365,                 1.4891,             2.8317e-05,             2.8317e-05,             2.8317e-05
                    119,                0.28267,                0.18731,                0.78978,                0.48498,                0.42328,                0.47238,                0.31588,                 1.5349,                 1.1233,                 1.4964,             1.9063e-05,             1.9063e-05,             1.9063e-05
                    120,                0.28462,                0.18824,                0.78896,                0.52587,                0.39903,                0.46858,                0.31883,                 1.5333,                 1.1237,                 1.4942,             9.8092e-06,             9.8092e-06,             9.8092e-06
